idHVIngresos,strTengoIngresos,strAnioIngresos,decRemuBrutaPublico,decRemuBrutaPrivado,decRentaIndividualPublico,decRentaIndividualPrivado,decOtroIngresoPublico,decOtroIngresoPrivado,idEstado,strUsuario,idHojaVida
131790,1,2018,0,0,0,0,0,30000,1,,133107
129249,1,2018,0,24000,0,0,0,0,1,,130468
129762,1,2018,0,0,0,89513,0,0,1,,131029
129350,1,2018,0,18000,0,0,0,0,1,,130566
129960,1,2018,27900,0,0,15606,0,0,1,,130567
129351,1,2018,49272,0,0,0,0,0,1,,130568
130750,1,2018,0,0,88755,2400,0,0,1,,131076
129341,1,2018,0,0,0,40000,0,0,1,,130569
129342,1,2018,0,0,38000,0,0,24000,1,,130570
131005,1,2018,0,0,0,60000,0,0,1,,132364
130242,1,2018,0,0,0,36000,0,0,1,,130951
129346,2,,0,0,0,0,0,0,1,,130578
129347,1,2018,0,0,27600,0,24000,0,1,,130580
129360,1,2018,0,0,0,29000,0,2000,1,,130590
129806,1,2018,0,0,0,24000,0,0,1,,131082
129622,1,2018,0,0,0,27600,0,5400,1,,130874
131749,2,,0,0,0,0,0,0,1,,133091
129813,1,2018,0,0,0,0,0,18000,1,,131091
129830,2,,0,0,0,0,0,0,1,,131112
129838,1,2018,19200,0,0,20000,0,36000,1,,131116
131112,1,2018,102000,0,0,0,750,0,1,,132443
129974,2,,0,0,0,0,0,0,1,,131121
130945,1,2018,0,310000,0,0,0,0,1,,131386
130096,1,2018,0,0,0,24000,0,0,1,,131274
131073,1,2018,0,0,0,0,0,0,1,,131402
130415,1,2018,0,0,0,20000,0,0,1,,131702
130113,1,2018,0,0,5000,0,0,15000,1,,131405
131526,2,,0,0,0,0,0,0,1,,131432
129584,2,,0,0,0,0,0,0,1,,130831
129641,1,2018,34800,0,0,0,0,0,1,,130589
129295,1,2018,30901.49,20627.78,0,0,0,29760,1,,130495
129338,1,2018,42780,0,0,0,0,0,1,,130535
129423,1,2018,8424,0,0,18000,0,0,1,,130646
129333,1,2018,6000,0,0,0,0,0,1,,130550
130713,1,2018,0,0,0,18000,0,15000,1,,131980
129755,1,2018,90110.91,129715,0,0,0,0,1,,131000
129976,1,2018,189181.91,0,0,0,0,0,1,,131051
130443,1,2018,0,0,0,10400,0,0,1,,131753
129781,2,,0,0,0,0,0,0,1,,131036
129945,2,,0,0,0,0,0,0,1,,130985
131292,1,2018,0,120000,0,0,0,0,1,,132601
131795,1,2018,0,0,0,0,0,736690.96,1,,132782
130511,1,2018,0,0,0,0,35100,14400,1,,131836
130064,1,2018,0,0,30000,0,0,0,1,,131362
130481,1,2018,0,0,0,0,0,3465320,1,,131799
130210,2,,0,0,0,0,0,0,1,,131511
130144,1,2018,234000,0,0,0,0,95472,1,,131443
130296,2,,0,0,0,0,0,0,1,,131612
131046,1,2018,0,300000,0,0,0,0,1,,132393
129982,1,2018,0,0,70000,236879,0,96979,1,,131267
131326,1,2018,0,13090,0,7273,0,0,1,,132382
130946,1,2018,0,0,0,200000,0,0,1,,132281
129853,1,2018,15222,11162,164566,0,23595,14700,1,,131138
131088,1,2018,0,51782.16,0,0,0,0,1,,132429
131344,2,,0,0,0,0,0,0,1,,132691
129967,1,2018,12000,0,0,12000,0,0,1,,131254
129863,1,2018,0,0,0,0,0,42000,1,,131144
130557,1,2018,0,324158,0,29359,0,225422,1,,131453
131578,1,2018,0,0,0,93332,0,135986,1,,132924
130079,1,2018,0,0,16000,6000,0,150000,1,,131378
131333,2,,0,0,0,0,0,0,1,,132678
131496,2,,0,0,0,0,0,0,1,,132834
130109,1,2018,0,106244.79,0,0,0,0,1,,131397
130227,2,,0,0,0,0,0,0,1,,131522
131519,1,2018,0,102000,0,0,0,0,1,,132856
131256,2,,0,0,0,0,0,0,1,,132450
131798,1,2018,0,138000,0,0,0,0,1,,133140
131462,1,2018,0,6000,0,0,0,0,1,,131550
130239,1,2018,0,53220,0,5000,0,0,1,,131545
